t,signal
0,-0.31459
0.000125,-0.35306
0.00025,-0.39126
0.000375,-0.42892
0.0005,-0.46549
0.000625,-0.50192
0.00075,-0.53387
0.000875,-0.56296
0.001,-0.59131
0.001125,-0.62101
0.00125,-0.64874
0.001375,-0.67532
0.0015,-0.70509
0.001625,-0.73446
0.00175,-0.76172
0.001875,-0.78605
0.002,-0.81032
0.002125,-0.83547
0.00225,-0.86293
0.002375,-0.89127
0.0025,-0.91343
0.002625,-0.93199
0.00275,-0.95184
0.002875,-0.96849
0.003,-0.97801
0.003125,-0.98236
0.00325,-0.98548
0.003375,-0.98942
0.0035,-0.99296
0.003625,-0.99588
0.00375,-0.9984
0.003875,-1.0004
0.004,-1.0019
0.004125,-1.0028
0.00425,-1.0032
0.004375,-1.0033
0.0045,-1.0026
0.004625,-1.0007
0.00475,-0.99473
0.004875,-0.98338
0.005,-0.96693
0.005125,-0.94817
0.00525,-0.92886
0.005375,-0.9082
0.0055,-0.88651
0.005625,-0.86306
0.00575,-0.83914
0.005875,-0.81596
0.006,-0.7919
0.006125,-0.76688
0.00625,-0.74037
0.006375,-0.7142
0.0065,-0.6896
0.006625,-0.66248
0.00675,-0.62951
0.006875,-0.59355
0.007,-0.55562
0.007125,-0.51613
0.00725,-0.47773
0.007375,-0.43932
0.0075,-0.39758
0.007625,-0.35959
0.00775,-0.32281
0.007875,-0.28509
0.008,-0.24458
0.008125,-0.20182
0.00825,-0.16118
0.008375,-0.12121
0.0085,-0.080763
0.008625,-0.036921
0.00875,0.010252
0.008875,0.057154
0.009,0.10174
0.009125,0.14491
0.00925,0.18746
0.009375,0.22654
0.0095,0.26318
0.009625,0.299
0.00975,0.3355
0.009875,0.37377
0.01,0.41218
0.010125,0.45078
0.01025,0.48837
0.010375,0.52515
0.0105,0.56036
0.010625,0.59516
0.01075,0.62717
0.010875,0.65708
0.011,0.68658
0.011125,0.71649
0.01125,0.74565
0.011375,0.77284
0.0115,0.80152
0.011625,0.83041
0.01175,0.85706
0.011875,0.88275
0.012,0.90715
0.012125,0.93196
0.01225,0.9582
0.012375,0.98566
0.0125,1.0082
0.012625,1.027
0.01275,1.047
0.012875,1.0643
0.013,1.0742
